2024-10-18	18:18:46	e698ab14-0d0f-4427-9c05-e1a5c206d056	Error: ENOENT: no such file or directory, stat 'C:\Users\shan enginner's\Documents\Projects Binder\System Development\Eutron Net\backend\views\index.html' 	GET 	/	 undefined
2024-10-18	18:24:40	5624267d-e951-4275-b46b-d76e4fb7df52	Error: ENOENT: no such file or directory, stat 'C:\Users\shan enginner's\Documents\Projects Binder\System Development\Eutron Net\backend\views\index.html' 	GET 	/	 undefined
2024-10-18	18:24:41	74caaa4f-1769-4b2c-b432-62af291f73a9	Error: ENOENT: no such file or directory, stat 'C:\Users\shan enginner's\Documents\Projects Binder\System Development\Eutron Net\backend\views\index.html' 	GET 	/	 undefined
2024-10-18	18:33:23	61acc988-350d-4f3c-adb5-914c0911036b	Error: ENOENT: no such file or directory, stat 'C:\Users\shan enginner's\Documents\Projects Binder\System Development\Eutron Net\backend\src\views\in0dex.html' 	GET 	/	 undefined
2024-10-20	15:33:22	740fa405-15b5-410f-ba2b-486dace445ba	CastError: Cast to Number failed for value "fgfg" (type string) at path "amount" for model "NetVendorSubscription" 	POST 	/net/api/vendor/subscription/create	 undefined
2024-10-20	15:34:07	a97e0a4e-6c04-4aec-a80e-912dc58af1b6	CastError: Cast to Number failed for value "fgfg" (type string) at path "amount" for model "NetVendorSubscription" 	POST 	/net/api/vendor/subscription/create	 undefined
2024-10-20	15:34:09	2f19ebba-5d7d-4114-bae2-c203c65f5432	CastError: Cast to Number failed for value "fgfg" (type string) at path "amount" for model "NetVendorSubscription" 	POST 	/net/api/vendor/subscription/create	 undefined
2024-10-20	15:34:10	0e201da1-dd2a-4e92-b293-e270f157a297	CastError: Cast to Number failed for value "fgfg" (type string) at path "amount" for model "NetVendorSubscription" 	POST 	/net/api/vendor/subscription/create	 undefined
2024-10-20	15:34:51	672a754e-e46a-4ceb-baa4-27ac35ecfd9f	ValidationError: NetVendorSubscription validation failed: plan: `fg` is not a valid enum value for path `plan`. 	POST 	/net/api/vendor/subscription/create	 undefined
2024-10-20	18:10:49		955c62ab-b721-4428-8bb9-ed1860651c52		ValidationError: NetVendorSubscription validation failed: active: Path `active` is required. 	PUT 	/net/api/vendor/subscription/6714f9e966ff80a3b610ac21/update	 undefined
2024-10-21	21:31:16		9b664834-421d-4b01-8b2d-6f67c4a6612a		ValidationError: NetSubscription validation failed: endDate: Path `endDate` is required. 	POST 	/net/api/user/subscription/create	 undefined
2024-10-22	14:48:22		a5a679d0-3125-4b04-93c9-5b21e4a2e814		ValidationError: NetUser validation failed: subscriptions.0.vendorId: Path `vendorId` is required. 	POST 	/net/api/user/subscription/create	 undefined
2024-10-22	14:48:37		724ff232-6e7f-4050-b3b2-a981345df8bf		ValidationError: NetUser validation failed: subscriptions.0.vendorId: Path `vendorId` is required. 	POST 	/net/api/user/subscription/create	 undefined
2024-10-22	14:49:18		1a280a6b-bff3-41bc-816a-ad08919772aa		ValidationError: NetUser validation failed: subscriptions.0.vendorId: Path `vendorId` is required. 	POST 	/net/api/user/subscription/create	 undefined
2024-10-22	14:51:48		9f5a306c-1e1c-4399-bd53-8416a92f11b1		ValidationError: NetUser validation failed: subscriptions.0.vendorId: Path `vendorId` is required. 	POST 	/net/api/user/subscription/create	 undefined
2024-10-22	14:53:34		61125bf7-063b-4458-89df-ee4a9279e4e4		ValidationError: NetUser validation failed: subscriptions.0.vendorId: Path `vendorId` is required. 	POST 	/net/api/user/subscription/create	 undefined
2024-10-22	14:57:48		6096c3d5-3bc1-4e95-b543-0085c19ba5a3		TypeError: String(...).slice(...).toUppercase is not a function 	POST 	/net/api/user/subscription/create	 undefined
2024-10-22	21:23:14		d3cc885d-9fca-4cfb-bf2c-38d8c556764d		MongoServerError: E11000 duplicate key error collection: Shan_Employees.netauthentications index: userId_1 dup key: { userId: ObjectId('670d5df768ecaee25247ff4b') } 	POST 	/net/auth/login	 undefined
2024-10-22	21:28:23		d215c22f-0468-46b8-8e89-71691c6e22ed		ReferenceError: userId is not defined 	POST 	/net/auth/login	 undefined
2024-10-23	10:42:16		6789aa60-b55d-4e73-8663-30a63dc2fd3e		TypeError: permissionName.forEach is not a function 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	10:42:54		a87bfe44-2fe6-4f6d-b35e-9b3f613d7c1c		TypeError: permissionName.forEach is not a function 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	10:43:29		4087518e-6127-434b-976f-136066290322		TypeError: permissionName.forEach is not a function 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	10:43:49		f088d204-8691-44bf-b614-9016e8bce382		TypeError: permissionName.forEach is not a function 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	10:44:19		602a73ce-78be-4a76-9ccd-2fbbbedd019e		TypeError: Cannot read properties of undefined (reading 'includes') 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	10:45:42		d6eda0d3-43b4-4833-9a77-3f46545b3263		TypeError: permissionName.forEach is not a function 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	10:46:31		25a7ff3d-cbac-46c6-b566-49967830db81		TypeError: permissionName.forEach is not a function 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	10:48:16		916aefd4-1485-4d25-be51-368dd7c10167		TypeError: permissionName.forEach is not a function 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	10:48:58		62d121e1-b9d2-45c5-bf00-5aafa83d7133		TypeError: permissionName.forEach is not a function 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	10:49:55		5a92bfab-4aa0-4435-affa-c2de1d6684f8		TypeError: Cannot read properties of undefined (reading 'includes') 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	10:51:39		0d0f11bb-a54b-4c05-93cc-603ff3ef2001		TypeError: Cannot read properties of undefined (reading 'includes') 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	10:55:42		a75817f8-7a08-4e39-987d-ffad94d00bf1		TypeError: Cannot read properties of undefined (reading 'includes') 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	10:57:28		00649386-3fd5-4f4b-8abc-d225cf539c61		TypeError: Cannot read properties of undefined (reading 'includes') 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	10:57:31		7f36cc84-223e-4b58-8ed0-de9a7eafcec0		TypeError: Cannot read properties of undefined (reading 'includes') 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	10:59:38		e6da3ef4-aa68-4444-a405-bacc133667b6		SyntaxError: Expected ',' or '}' after property value in JSON at position 100 	POST 	/net/auth/create	 undefined
2024-10-23	11:03:39		f6023014-71ac-415c-818d-ec8b88514f1f		TypeError: Cannot read properties of null (reading 'user') 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	11:03:53		041c378a-b350-4ef4-b9a6-76a809964cad		SyntaxError: Bad control character in string literal in JSON at position 82 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	11:04:03		a4c9cd7e-e4ee-4492-837f-983ae3d94ded		SyntaxError: Bad control character in string literal in JSON at position 85 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	11:04:04		85eecba4-4230-412a-a92e-614341cfe7c7		SyntaxError: Bad control character in string literal in JSON at position 85 	GET 	/net/api/vendor/subscription/listAll	 undefined
2024-10-23	11:09:24		d01e025b-961e-4145-9657-5bcc13669089		TypeError: Cannot read properties of undefined (reading 'username') 	GET 	/net/api/vendor/subscription/listAll	 undefined
